rollout,policy,followup_cost_units,n_efficacy_followups,n_safety_followups,n_advanced,downstream_cost_units,posterior_expected_portfolio_value,realised_portfolio_value,oracle_portfolio_value,oracle_regret,advanced_technical_success_rate,oracle_n_advanced
0,no_followup,0,0,0,5,126,118.97618743826061,215.2533310567438,307.16237788393005,91.90904682718624,0.8,5
0,uniform,24,4,4,5,126,118.97618743826061,215.2533310567438,307.16237788393005,91.90904682718624,0.8,5
0,uncertainty,24,1,10,4,121,165.6897416482003,243.7437909223912,307.16237788393005,63.418586961538836,1.0,5
0,portfolio_voi,24,2,8,5,129,185.92958869674885,210.53354214826138,307.16237788393005,96.62883573566867,0.8,5
1,no_followup,0,0,0,6,122,189.75779139723997,38.54345305675946,284.1407087826858,245.59725572592635,0.3333333333333333,6
1,uniform,24,4,4,6,122,189.75779139723997,38.54345305675946,284.1407087826858,245.59725572592635,0.3333333333333333,6
1,uncertainty,24,0,12,6,125,212.94444154214938,83.78929436383481,284.1407087826858,200.351414418851,0.5,6
1,portfolio_voi,24,1,10,6,124,197.94663505101667,137.0686338046175,284.1407087826858,147.07207497806831,0.6666666666666666,6
2,no_followup,0,0,0,6,127,148.0026405210224,135.20101642396793,367.89914236742266,232.69812594345473,0.5,5
2,uniform,24,4,4,6,129,183.72471845645532,154.93192419098517,367.89914236742266,212.96721817643748,0.5,5
2,uncertainty,24,1,10,5,113,199.75251845571358,234.2337384327712,367.89914236742266,133.66540393465147,0.8,5
2,portfolio_voi,24,3,6,5,115,231.6275421655975,331.67032519446025,367.89914236742266,36.22881717296241,1.0,5
3,no_followup,0,0,0,5,126,157.08912369618685,326.49493300491065,382.8363602868889,56.34142728197827,1.0,5
3,uniform,24,4,4,5,125,158.2812925921413,310.53151578697396,382.8363602868889,72.30484449991496,1.0,5
3,uncertainty,24,1,10,5,126,241.97866151233552,326.49493300491065,382.8363602868889,56.34142728197827,1.0,5
3,portfolio_voi,24,1,10,5,126,284.85331062973194,326.49493300491065,382.8363602868889,56.34142728197827,1.0,5
4,no_followup,0,0,0,6,119,222.23751474529826,365.0269186948684,487.5806886455913,122.55376995072288,0.8333333333333334,6
4,uniform,24,4,4,6,124,274.91964582532535,464.81709705100775,487.5806886455913,22.763591594583545,1.0,6
4,uncertainty,24,1,10,6,128,301.1881320370737,461.1444571106023,487.5806886455913,26.43623153498902,1.0,6
4,portfolio_voi,24,3,6,6,124,429.42836890304943,483.96111173267786,487.5806886455913,3.6195769129134305,1.0,6
5,no_followup,0,0,0,6,130,181.31034316823428,217.10569773904595,369.186497786681,152.08080004763505,0.6666666666666666,5
5,uniform,24,4,4,6,130,182.49575712168973,217.10569773904595,369.186497786681,152.08080004763505,0.6666666666666666,5
5,uncertainty,24,1,10,6,127,191.3698427980633,168.29838911767987,369.186497786681,200.88810866900113,0.5,5
5,portfolio_voi,24,0,12,6,130,184.9488675344068,255.61607638194494,369.186497786681,113.57042140473607,0.6666666666666666,5
6,no_followup,0,0,0,5,128,184.02922149377042,312.54316944323983,331.748881911543,19.205712468303147,1.0,5
6,uniform,24,4,4,6,130,195.2719110719887,275.45745550022804,331.748881911543,56.291426411314944,0.8333333333333334,5
6,uncertainty,24,0,12,6,128,229.94111067518142,207.98822224812614,331.748881911543,123.76065966341685,0.6666666666666666,5
6,portfolio_voi,24,1,10,6,129,226.51999391428208,206.98822224812614,331.748881911543,124.76065966341685,0.6666666666666666,5
7,no_followup,0,0,0,6,112,178.9872508284978,-31.719470602315425,285.75562208227416,317.4750926845896,0.16666666666666666,5
7,uniform,24,4,4,6,114,178.30183977187477,-33.719470602315425,285.75562208227416,319.4750926845896,0.16666666666666666,5
7,uncertainty,24,1,10,6,130,224.64681532050267,32.38467258959464,285.75562208227416,253.37094949267953,0.3333333333333333,5
7,portfolio_voi,24,3,6,6,114,254.89043072280577,-33.719470602315425,285.75562208227416,319.4750926845896,0.16666666666666666,5
8,no_followup,0,0,0,6,117,271.7886372381395,256.1408537382125,462.2348527938749,206.09399905566238,0.6666666666666666,6
8,uniform,24,4,4,6,117,271.7886372381395,256.1408537382125,462.2348527938749,206.09399905566238,0.6666666666666666,6
8,uncertainty,24,0,12,6,116,337.3024870225273,327.78593501470186,462.2348527938749,134.44891777917303,0.8333333333333334,6
8,portfolio_voi,24,1,10,6,119,340.81561182161045,409.90331703643835,462.2348527938749,52.33153575743654,1.0,6
9,no_followup,0,0,0,6,128,186.56422057472128,83.31099294446612,421.4217358328191,338.11074288835295,0.5,6
9,uniform,24,4,4,6,128,187.22194916033186,83.31099294446612,421.4217358328191,338.11074288835295,0.5,6
9,uncertainty,24,0,12,5,120,222.10703147462763,130.41295101393814,421.4217358328191,291.00878481888094,0.6,6
9,portfolio_voi,24,2,8,5,120,280.03934264916245,130.41295101393814,421.4217358328191,291.00878481888094,0.6,6
10,no_followup,0,0,0,6,130,290.6505147145939,343.7580463847793,479.0554001288958,135.29735374411655,0.8333333333333334,6
10,uniform,24,4,4,6,130,318.8295405342151,343.7580463847793,479.0554001288958,135.29735374411655,0.8333333333333334,6
10,uncertainty,24,3,6,6,124,345.59591730825935,445.36034459789107,479.0554001288958,33.695055531004755,1.0,6
10,portfolio_voi,24,3,6,6,121,368.7966573433147,449.6624562684333,479.0554001288958,29.392943860462537,1.0,6
11,no_followup,0,0,0,5,116,212.3388660665329,91.05368899637196,372.2731246892987,281.2194356929267,0.4,6
11,uniform,24,4,4,5,122,217.7138112233436,166.930172550549,372.2731246892987,205.3429521387497,0.6,6
11,uncertainty,24,0,12,6,127,290.7768674958767,308.99792841390035,372.2731246892987,63.27519627539834,0.8333333333333334,6
11,portfolio_voi,24,0,12,6,127,270.0359836502952,308.99792841390035,372.2731246892987,63.27519627539834,0.8333333333333334,6
12,no_followup,0,0,0,6,127,282.0951342714739,415.0924158159462,463.7729324847269,48.68051666878068,1.0,6
12,uniform,24,4,4,6,128,333.8883348004317,423.5397308619704,463.7729324847269,40.233201622756496,1.0,6
12,uncertainty,24,1,10,6,127,355.30602874106796,424.9767075856108,463.7729324847269,38.796224899116055,1.0,6
12,portfolio_voi,24,3,6,6,120,379.34672317330853,430.02109484543746,463.7729324847269,33.75183763928942,1.0,6
13,no_followup,0,0,0,5,123,163.14342259919525,194.9854537407333,304.0521407619357,109.06668702120237,0.8,5
13,uniform,24,4,4,5,129,210.22087542056997,143.54116416186883,304.0521407619357,160.51097660006684,0.6,5
13,uncertainty,24,1,10,5,129,274.80024727744296,143.54116416186883,304.0521407619357,160.51097660006684,0.6,5
13,portfolio_voi,24,3,6,5,128,277.0021696425447,219.07493543227915,304.0521407619357,84.97720532965653,0.8,5
14,no_followup,0,0,0,6,121,280.31296580719686,334.0982614447858,459.72081254307443,125.62255109828862,0.8333333333333334,6
14,uniform,24,4,4,6,121,294.0823926996483,334.0982614447858,459.72081254307443,125.62255109828862,0.8333333333333334,6
14,uncertainty,24,1,10,6,122,304.52275603197467,308.1782377592994,459.72081254307443,151.54257478377502,0.8333333333333334,6
14,portfolio_voi,24,2,8,6,112,398.9687050292903,434.7745378966443,459.72081254307443,24.94627464643014,1.0,6
15,no_followup,0,0,0,6,124,244.58432794663548,327.50884046145853,438.39207679725143,110.8832363357929,0.8333333333333334,6
15,uniform,24,4,4,6,124,247.9205318713254,327.50884046145853,438.39207679725143,110.8832363357929,0.8333333333333334,6
15,uncertainty,24,1,10,6,127,271.66785601027556,324.50884046145853,438.39207679725143,113.8832363357929,0.8333333333333334,6
15,portfolio_voi,24,2,8,6,127,271.66785601027556,324.50884046145853,438.39207679725143,113.8832363357929,0.8333333333333334,6
16,no_followup,0,0,0,6,119,147.56228284635182,82.23444387910153,345.7084347553787,263.4739908762771,0.5,6
16,uniform,24,4,4,6,119,156.2486886648039,82.23444387910153,345.7084347553787,263.4739908762771,0.5,6
16,uncertainty,24,0,12,6,123,207.08834923814626,264.5793494167525,345.7084347553787,81.12908533862617,0.8333333333333334,6
16,portfolio_voi,24,1,10,6,126,201.08912533093954,246.9192882472982,345.7084347553787,98.78914650808048,0.8333333333333334,6
17,no_followup,0,0,0,6,121,248.3494151046068,58.385909013482404,374.4765739629353,316.09066494945284,0.3333333333333333,6
17,uniform,24,4,4,6,121,248.3494151046068,58.385909013482404,374.4765739629353,316.09066494945284,0.3333333333333333,6
17,uncertainty,24,0,12,6,116,310.6364770785928,156.48452914862972,374.4765739629353,217.99204481430556,0.5,6
17,portfolio_voi,24,1,10,6,119,309.6606854276774,236.6355693065317,374.4765739629353,137.84100465640358,0.6666666666666666,6
18,no_followup,0,0,0,6,120,227.9970900963716,404.37738924615934,456.91107525468374,52.5336860085244,1.0,6
18,uniform,24,4,4,6,120,231.57125482243464,404.37738924615934,456.91107525468374,52.5336860085244,1.0,6
18,uncertainty,24,0,12,6,129,311.3819149879188,325.6482088506441,456.91107525468374,131.26286640403964,0.8333333333333334,6
18,portfolio_voi,24,1,10,6,122,325.3167648685504,342.4896797839369,456.91107525468374,114.42139547074686,0.8333333333333334,6
19,no_followup,0,0,0,6,126,236.98191183522133,326.6041579304723,381.45642951522507,54.85227158475277,0.8333333333333334,6
19,uniform,24,4,4,6,126,256.94277807115714,326.6041579304723,381.45642951522507,54.85227158475277,0.8333333333333334,6
19,uncertainty,24,0,12,6,125,290.58753395141673,316.475847628421,381.45642951522507,64.98058188680409,0.8333333333333334,6
19,portfolio_voi,24,0,12,6,129,283.4681411941828,358.5788639605711,381.45642951522507,22.877565554653984,1.0,6
20,no_followup,0,0,0,6,125,187.23741672279507,147.5133839276777,342.66579566498956,195.15241173731187,0.5,5
20,uniform,24,4,4,6,125,205.82394565499888,147.5133839276777,342.66579566498956,195.15241173731187,0.5,5
20,uncertainty,24,1,10,6,126,306.6239594675061,148.9538786224984,342.66579566498956,193.71191704249117,0.5,5
20,portfolio_voi,24,3,6,6,126,298.27348750090425,234.07973205666192,342.66579566498956,108.58606360832763,0.6666666666666666,5
21,no_followup,0,0,0,6,125,234.29985073482564,335.8477335205104,425.7750381126038,89.92730459209338,0.8333333333333334,6
21,uniform,24,4,4,6,125,234.29985073482564,335.8477335205104,425.7750381126038,89.92730459209338,0.8333333333333334,6
21,uncertainty,24,0,12,6,119,274.39254218120874,295.67965970425246,425.7750381126038,130.09537840835134,0.8333333333333334,6
21,portfolio_voi,24,1,10,6,121,274.5677028831902,237.44859022811045,425.7750381126038,188.32644788449335,0.8333333333333334,6
22,no_followup,0,0,0,6,130,247.6448065024145,286.28315344635377,383.47255901393515,97.18940556758139,0.6666666666666666,5
22,uniform,24,4,4,6,130,292.83085962347127,286.28315344635377,383.47255901393515,97.18940556758139,0.6666666666666666,5
22,uncertainty,24,0,12,6,130,262.3138089696695,300.97249462764375,383.47255901393515,82.5000643862914,0.8333333333333334,5
22,portfolio_voi,24,2,8,5,113,346.06560212160906,303.28315344635377,383.47255901393515,80.18940556758139,0.8,5
