metric,mean,mc95_low,mc95_high
acceptance_rate,0.21038461538461534,0.20619152442038388,0.2145777063488468
always_predict_mae,0.16948785183446413,0.16658501678435197,0.1723906868845763
distance_scaled_interval_coverage,0.9286538461538463,0.922087043323832,0.9352206489838606
mean_global_interval_width,0.43078220065258244,0.41804528588892154,0.44351911541624334
mean_scaled_interval_width,0.8255163668018592,0.8076971996300835,0.843335533973635
naive_id_interval_coverage,0.5064615384615384,0.49481394948381074,0.5181091274392661
ood_rejection_rate,0.9810000000000001,0.9777346669388868,0.9842653330611134
selective_interval_coverage,0.8889494953002525,0.8751125137294912,0.9027864768710138
selective_mae,0.05016023429030368,0.049068956252391285,0.05125151232821608
stress_global_interval_coverage,0.6996923076923077,0.6895501391159158,0.7098344762686997
