policy,n_evaluations,n_true_feasible,unsafe_evaluation_rate,discovered_hypervolume,oracle_hypervolume,hypervolume_ratio,oracle_frontier_recall,n_balanced_high_value_evaluated,best_feasible_efficacy,best_feasible_environmental_burden,rollout
random,30,21,0.3,0.6398614068451628,0.7782980928015737,0.8221289667329235,0.024390243902439025,0,0.8983369867115605,0.05711007173036735,0
efficacy_only,30,21,0.3,0.6618677020111811,0.7782980928015737,0.8504038595658278,0.024390243902439025,0,1.0,0.05711007173036735,0
constrained_pareto,30,22,0.26666666666666666,0.667350038993925,0.7782980928015737,0.8574478662689787,0.024390243902439025,0,1.0,0.05711007173036735,0
random,30,22,0.26666666666666666,0.6470198937792065,0.7782980928015737,0.8313265826595873,0.024390243902439025,0,1.0,0.05711007173036735,1
efficacy_only,30,21,0.3,0.660177697929829,0.7782980928015737,0.8482324497975362,0.024390243902439025,0,1.0,0.05711007173036735,1
constrained_pareto,30,24,0.2,0.7024439810210548,0.7782980928015737,0.9025384843132875,0.04878048780487805,2,1.0,0.005597354672525881,1
random,30,21,0.3,0.6587424137866048,0.7782980928015737,0.8463883181511926,0.0,0,0.9693885718134012,0.05711007173036735,2
efficacy_only,30,23,0.23333333333333334,0.6475960116737645,0.7782980928015737,0.8320668104718951,0.024390243902439025,0,1.0,0.05711007173036735,2
constrained_pareto,30,24,0.2,0.6840306497116494,0.7782980928015737,0.8788800281514275,0.04878048780487805,0,1.0,0.022567728707119872,2
random,30,22,0.26666666666666666,0.6749548153179274,0.7782980928015737,0.8672188992373729,0.0,1,0.9596156767087085,0.05711007173036735,3
efficacy_only,30,23,0.23333333333333334,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,3
constrained_pareto,30,24,0.2,0.7246169116458562,0.7782980928015737,0.9310274795066169,0.07317073170731707,1,1.0,0.050041799116970306,3
random,30,23,0.23333333333333334,0.602994646417279,0.7782980928015737,0.7747605345488259,0.0,0,0.8287327346996276,0.05711007173036735,4
